NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
288,Other delivery services (by non-U.S. postal facilities),14,Services,Household consumption expenditures (for services),Other services,Communication,Postal and delivery services,Other delivery services (by non-U.S. postal facilities),,,,,173
289,Internet access,12,Services,Household consumption expenditures (for services),Other services,Communication,Internet access,,,,,,174
292,Proprietary and public higher education,14,Services,Household consumption expenditures (for services),Other services,Education services,Higher education,Proprietary and public higher education,,,,,175
293,Nonprofit private higher education services to households,14,Services,Household consumption expenditures (for services),Other services,Education services,Higher education,Nonprofit private higher education services to households,,,,,176
295,Elementary and secondary schools,14,Services,Household consumption expenditures (for services),Other services,Education services,"Nursery, elementary, and secondary schools",Elementary and secondary schools,,,,,177
296,Day care and nursery schools,14,Services,Household consumption expenditures (for services),Other services,Education services,"Nursery, elementary, and secondary schools",Day care and nursery schools,,,,,178
297,Commercial and vocational schools,12,Services,Household consumption expenditures (for services),Other services,Education services,Commercial and vocational schools,,,,,,179
299,Legal services,12,Services,Household consumption expenditures (for services),Other services,Professional and other services,Legal services,,,,,,180
301,Tax preparation and other related services,14,Services,Household consumption expenditures (for services),Other services,Professional and other services,Accounting and other business services,Tax preparation and other related services,,,,,181
302,Employment agency services,14,Services,Household consumption expenditures (for services),Other services,Professional and other services,Accounting and other business services,Employment agency services,,,,,182
303,Other personal business services,14,Services,Household consumption expenditures (for services),Other services,Professional and other services,Accounting and other business services,Other personal business services,,,,,183
304,Labor organization dues,12,Services,Household consumption expenditures (for services),Other services,Professional and other services,Labor organization dues,,,,,,184
305,Professional association dues,12,Services,Household consumption expenditures (for services),Other services,Professional and other services,Professional association dues,,,,,,185
