Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Italy,556870.0,7305316010,73,7305316010,331110,331110,direct_2022
Germany,261528803.0,7305316090,73,7305316090,331110,331110,direct_2022
Germany,24589.0,7305901000,73,7305901000,331110,331110,direct_2022
Italy,6846.0,7305905000,73,7305905000,331110,331110,direct_2022
France,265759.0,7306110010,73,7306110010,331210,331110,direct_2022
Germany,7990.0,7306110010,73,7306110010,331210,331110,direct_2022
Italy,307056.0,7306110010,73,7306110010,331210,331110,direct_2022
France,1253939.0,7306110050,73,7306110050,331210,331110,direct_2022
Germany,3153305.0,7306110050,73,7306110050,331210,331110,direct_2022
Italy,7081802.0,7306110050,73,7306110050,331210,331110,direct_2022
Italy,747833.0,7306191010,73,7306191010,331110,331110,direct_2022
Germany,12230151.0,7306191050,73,7306191050,331110,331110,direct_2022
Greece,1455652.0,7306191050,73,7306191050,331110,331110,direct_2022
Italy,28188.0,7306191050,73,7306191050,331110,331110,direct_2022
Germany,12914.0,7306195110,73,7306195110,331110,331110,direct_2022
Italy,95514.0,7306195110,73,7306195110,331110,331110,direct_2022
Germany,284290.0,7306195150,73,7306195150,331110,331110,direct_2022
Finland,72243.0,7306214000,73,7306214000,331210,331110,direct_2022
France,23856.0,7306214000,73,7306214000,331210,331110,direct_2022
Finland,2053.0,7306218050,73,7306218050,331210,331110,direct_2022
France,14125.0,7306218050,73,7306218050,331210,331110,direct_2022
Germany,24791.0,7306218050,73,7306218050,331210,331110,direct_2022
Italy,6258.0,7306218050,73,7306218050,331210,331110,direct_2022
Germany,9375.0,7306291030,73,7306291030,331110,331110,direct_2022
Greece,78457.0,7306292000,73,7306292000,331110,331110,direct_2022
Italy,4830847.0,7306292000,73,7306292000,331110,331110,direct_2022
Greece,13144612.0,7306296050,73,7306296050,331110,331110,direct_2022
Italy,14633019.0,7306296050,73,7306296050,331110,331110,direct_2022
France,4244.0,7306301000,73,7306301000,331110,331110,direct_2022
Germany,1826385.0,7306301000,73,7306301000,331110,331110,direct_2022
Italy,2384592.0,7306301000,73,7306301000,331110,331110,direct_2022
Germany,3485.0,7306303000,73,7306303000,331210,331210,direct_2022
Germany,8364.0,7306305010,73,7306305010,331110,331110,direct_2022
Italy,830169.0,7306305010,73,7306305010,331110,331110,direct_2022
France,441422.0,7306305015,73,7306305015,331110,331110,direct_2022
Germany,2838665.0,7306305015,73,7306305015,331110,331110,direct_2022
Italy,1031389.0,7306305015,73,7306305015,331110,331110,direct_2022
Germany,18900.0,7306305020,73,7306305020,331110,331110,direct_2022
Greece,2402.0,7306305020,73,7306305020,331110,331110,direct_2022
Italy,194253.0,7306305020,73,7306305020,331110,331110,direct_2022
Germany,6382.0,7306305031,73,7306305031,331110,331110,new_hs_code_2024
