Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Argentina,ARG,4,311514,770981.0,15648201.0,0.04926962530708802
Argentina,ARG,6,311514,14877220.0,15648201.0,0.950730374692912
Argentina,ARG,1,31151A,5550750.0,5566723.0,0.9971306278397541
Argentina,ARG,4,31151A,15973.0,5566723.0,0.0028693721602458034
Argentina,ARG,4,311520,495526.0,495526.0,1.0
Argentina,ARG,1,31161A,233866706.0,293065753.0,0.7980008022295256
Argentina,ARG,3,31161A,55723474.0,293065753.0,0.19013983527444095
Argentina,ARG,4,31161A,3378284.0,293065753.0,0.011527392625777056
Argentina,ARG,8,31161A,97289.0,293065753.0,0.00033196987025638577
Argentina,ARG,1,311700,31330089.0,33393937.0,0.9381969247890718
Argentina,ARG,4,311700,2063848.0,33393937.0,0.06180307521092826
Argentina,ARG,4,311810,6590582.0,6590582.0,1.0
Argentina,ARG,4,3118A0,1341568.0,1341568.0,1.0
Argentina,ARG,4,311910,12379684.0,12379684.0,1.0
Argentina,ARG,2,311920,60767589.0,60844996.0,0.9987278000642814
Argentina,ARG,4,311920,77407.0,60844996.0,0.001272199935718625
Argentina,ARG,4,311930,96926.0,96926.0,1.0
Argentina,ARG,2,311940,111737.0,885607.0,0.12616996026454172
Argentina,ARG,4,311940,773870.0,885607.0,0.8738300397354583
Argentina,ARG,2,311990,2834380.0,5082934.0,0.5576267565150363
Argentina,ARG,4,311990,2248554.0,5082934.0,0.4423732434849636
Argentina,ARG,4,312110,119676.0,119676.0,1.0
Argentina,ARG,4,312120,316499.0,316499.0,1.0
Argentina,ARG,4,312130,208169014.0,208169014.0,1.0
Argentina,ARG,4,312140,986020.0,986020.0,1.0
Argentina,ARG,11,313100,91549.0,91549.0,1.0
Argentina,ARG,11,313200,511119.0,514564.0,0.9933050116214892
Argentina,ARG,13,313200,3445.0,514564.0,0.006694988378510739
Argentina,ARG,11,314110,269673.0,269673.0,1.0
Argentina,ARG,11,314120,104722.0,286108.0,0.36602262082849835
Argentina,ARG,20,314120,181386.0,286108.0,0.6339773791715017
Argentina,ARG,8,314900,40233.0,295518.0,0.13614399122896068
Argentina,ARG,11,314900,210425.0,295518.0,0.7120547648535791
Argentina,ARG,12,314900,1120.0,295518.0,0.0037899552649923187
Argentina,ARG,20,314900,43740.0,295518.0,0.14801128865246788
Argentina,ARG,8,315000,1498763.0,2041069.0,0.7343029559510237
Argentina,ARG,11,315000,352446.0,2041069.0,0.1726771608407163
Argentina,ARG,12,315000,189860.0,2041069.0,0.09301988320825999
Argentina,ARG,8,316000,10168992.0,11537117.0,0.881415348392497
Argentina,ARG,12,316000,1363832.0,11537117.0,0.1182125482475388
Argentina,ARG,20,316000,4293.0,11537117.0,0.0003721033599641921
Argentina,ARG,9,321100,21671675.0,21671675.0,1.0
Argentina,ARG,9,321200,28597317.0,28597317.0,1.0
Argentina,ARG,9,321910,41902254.0,41902254.0,1.0
Argentina,ARG,9,3219A0,9508374.0,9522974.0,0.9984668654981101
Argentina,ARG,20,3219A0,14600.0,9522974.0,0.0015331345018898509
Argentina,ARG,10,322120,12086135.0,12086135.0,1.0
Argentina,ARG,10,322210,117028.0,117028.0,1.0
Argentina,ARG,7,322220,12027.0,1418779.0,0.008477007342228775
Argentina,ARG,10,322220,1406752.0,1418779.0,0.9915229926577712
Argentina,ARG,10,322230,236641.0,236641.0,1.0
Argentina,ARG,10,322299,3777563.0,3777563.0,1.0
Argentina,ARG,10,323110,598185.0,609535.0,0.9813792481153666
Argentina,ARG,20,323110,11350.0,609535.0,0.018620751884633368
Argentina,ARG,16,323120,13736.0,13736.0,1.0
Argentina,ARG,5,324110,284252335.0,333374454.0,0.8526518201661607
Argentina,ARG,6,324110,49122119.0,333374454.0,0.14734817983383933
Argentina,ARG,6,324190,70752.0,70752.0,1.0
Argentina,ARG,6,325120,2567.0,2567.0,1.0
Argentina,ARG,6,325130,58127.0,58127.0,1.0
Argentina,ARG,6,325180,95803369.0,95803369.0,1.0
Argentina,ARG,4,325190,30271.0,58519159.0,0.0005172835788702978
Argentina,ARG,5,325190,16514291.0,58519159.0,0.2822031499119801
Argentina,ARG,6,325190,41694006.0,58519159.0,0.7124847094948853
Argentina,ARG,9,325190,280591.0,58519159.0,0.004794857014264337
Argentina,ARG,6,325211,26668.0,11898503.0,0.002241290353920993
Argentina,ARG,7,325211,11871835.0,11898503.0,0.997758709646079
Argentina,ARG,7,3252A0,9952369.0,10520727.0,0.9459773074617372
Argentina,ARG,11,3252A0,568358.0,10520727.0,0.0540226925382628
Argentina,ARG,6,325310,156295.0,156295.0,1.0
Argentina,ARG,6,325411,21443631.0,21443631.0,1.0
Argentina,ARG,6,325412,653441471.0,653441471.0,1.0
Argentina,ARG,6,325413,5144400.0,5144400.0,1.0
Argentina,ARG,6,325414,4019937.0,4019937.0,1.0
Argentina,ARG,6,325510,208398.0,208398.0,1.0
Argentina,ARG,6,325520,125251.0,125251.0,1.0
Argentina,ARG,3,325610,3367787.0,3975366.0,0.8471640095528311
Argentina,ARG,6,325610,607579.0,3975366.0,0.1528359904471689
Argentina,ARG,6,325620,5166441.0,5166441.0,1.0
Argentina,ARG,6,325910,29046.0,29046.0,1.0
Argentina,ARG,3,3259A0,160846.0,112706733.0,0.0014271197089884594
Argentina,ARG,6,3259A0,112540887.0,112706733.0,0.9985285173690555
Argentina,ARG,20,3259A0,5000.0,112706733.0,4.436292195604676e-05
Argentina,ARG,7,326110,451975.0,451975.0,1.0
Argentina,ARG,7,326120,497107.0,497107.0,1.0
Argentina,ARG,7,326160,416352.0,416352.0,1.0
Argentina,ARG,7,326190,2785628.0,3629750.0,0.7674434878435153
Argentina,ARG,8,326190,700.0,3629750.0,0.0001928507472966458
Argentina,ARG,16,326190,98723.0,3629750.0,0.027198291893381087
Argentina,ARG,20,326190,744699.0,3629750.0,0.20516536951580688
Argentina,ARG,7,326210,7994478.0,7994478.0,1.0
Argentina,ARG,7,326220,4231584.0,4231584.0,1.0
Argentina,ARG,7,326290,6201165.0,6201564.0,0.9999356613912233
Argentina,ARG,12,326290,399.0,6201564.0,6.433860877675373e-05
Argentina,ARG,13,327100,387055.0,746017.0,0.518828659400523
Argentina,ARG,16,327100,358962.0,746017.0,0.48117134059947697
