ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
BHR,7,36265654.0,28430.0,0.07839373308971624,10.078393733089717
BHR,8,5692.0,360.0,6.324666198172873,16.324666198172874
BHR,9,5861.0,118.0,2.0133083091622592,12.013308309162262
BHR,10,762062.0,0.0,0.0,10.0
BHR,11,53837764.0,81922.0,0.15216456612128246,10.152164566121282
BHR,12,3898769.0,1439.0,0.0369090859191709,10.036909085919168
BHR,13,22396870.0,117060.0,0.522662318440032,10.522662318440032
BHR,14,50669695.0,18479.0,0.036469530752059984,10.03646953075206
BHR,15,702553590.0,23649742.0,3.366254523017952,12.680013477690723
BHR,16,2346539.0,6055.0,0.2580396064160877,16.468969831739425
BHR,17,278300.0,720.0,0.25871361839741286,17.20086237872799
BHR,18,1517321.0,17624.0,1.1615208647346211,11.408202351381151
BHR,19,0.0,0.0,0.0,0.0
BHR,20,889950.0,0.0,0.0,10.0
BHR,21,47483825.0,0.0,0.0,10.0
BHS,1,102750137.0,7636.0,0.007431620261489287,10.004936246459701
BHS,2,0.0,0.0,0.0,0.0
BHS,3,0.0,0.0,0.0,0.0
BHS,4,280086.0,0.0,0.0,10.0
BHS,5,645989977.0,3222609.0,0.4988636224614364,10.49867611181218
BHS,6,48675.0,1026.0,2.1078582434514637,12.107858243451464
BHS,7,54451020.0,30.0,5.5095386642894845e-05,10.000055095386642
BHS,8,4442.0,622.0,14.002701485817198,24.0027014858172
BHS,9,0.0,0.0,0.0,0.0
BHS,10,49940.0,0.0,0.0,10.0
BHS,11,29243.0,3293.0,11.260814553910338,21.260814553910333
BHS,12,14171.0,889.0,6.273375202879119,16.27337520287912
BHS,13,10785.0,385.0,3.5697728326379226,13.569772832637923
BHS,14,1448750.0,1162.0,0.08020707506471096,10.080207075064711
BHS,15,4196066.0,1639.0,0.03906039609481834,11.8359196447339
BHS,16,1330791.0,4546.0,0.3416013483710064,15.858267752036195
BHS,17,502355.0,746.0,0.14850056235132525,10.23807864956057
BHS,18,488625.0,196.0,0.04011256075722691,10.040112560757226
BHS,19,0.0,0.0,0.0,0.0
BHS,20,757984.0,218.0,0.028760501540929625,10.186811331109892
BHS,21,977959993.0,0.0,0.0,10.0
BIH,1,148018.0,27197.0,18.374116661487115,28.374116661487115
BIH,2,1570664.0,2150.0,0.13688478248689726,10.1368847824869
BIH,3,0.0,0.0,0.0,0.0
BIH,4,2466654.0,40877.0,1.6571841855404124,11.657184185540412
BIH,5,635645.0,0.0,0.0,10.0
BIH,6,11631875.0,269894.0,2.320296598785664,12.320296598785664
BIH,7,939619.0,40143.0,4.272263545117755,14.272263545117756
BIH,8,449094.0,34987.0,7.790573911029762,17.790573911029764
BIH,9,1162026.0,57379.0,4.937841321966978,14.937841321966978
BIH,10,1035397.0,0.0,0.0,8.829608353124454
BIH,11,12613714.0,2219045.0,17.592320548888296,27.592320548888292
BIH,12,15948414.0,1427212.0,8.948927460749388,18.97760241237781
BIH,13,418861.0,28441.0,6.790080718901975,16.790080718901972
BIH,14,90208.0,8341.0,9.246408300815892,19.246408300815894
BIH,15,14217931.0,230311.0,1.619862974436998,34.35227952646556
BIH,16,30227603.0,442657.0,1.464413172291564,15.082244364529997
BIH,17,7891427.0,104708.0,1.3268576139651294,14.719112905688666
BIH,18,204647.0,7614.0,3.7205529521566403,13.720552952156641
BIH,19,51367972.0,2897.0,0.005639700940500435,10.0056397009405
BIH,20,20323809.0,184344.0,0.9070347000407257,14.737574536347985
BIH,21,4272646.0,0.0,0.0,10.0
BLR,1,1154143.0,324214.0,28.091319706483514,38.09131970648351
BLR,2,2761846.0,76763.0,2.779409134325375,12.779409134325375
BLR,3,679627.0,169907.0,25.000036784883473,35.00003678488348
BLR,4,4078205.0,489319.0,11.998391449179234,21.998391449179234
BLR,5,2665.0,15.0,0.5628517823639775,10.562851782363978
