naics,naics22,mapping_type
511130,513130,official_crosswalk
519130,513140,official_crosswalk
511140,513140,official_crosswalk
519130,513191,official_crosswalk
511191,513191,official_crosswalk
511199,513199,official_crosswalk
519130,513199,official_crosswalk
511210,513210,official_crosswalk
515112,516110,official_crosswalk
515120,516120,official_crosswalk
515111,516210,official_crosswalk
519130,516210,official_crosswalk
515120,516210,official_crosswalk
515210,516210,official_crosswalk
519110,516210,official_crosswalk
517311,517111,official_crosswalk
517312,517112,official_crosswalk
517911,517121,official_crosswalk
517911,517122,official_crosswalk
517312,517122,official_crosswalk
517410,517410,self_mapping
517919,517810,official_crosswalk
518210,518210,self_mapping
519120,519210,official_crosswalk
519190,519290,official_crosswalk
519130,519290,official_crosswalk
521110,521110,self_mapping
522110,522110,self_mapping
522130,522130,self_mapping
522190,522180,official_crosswalk
522120,522180,official_crosswalk
522210,522210,self_mapping
522220,522220,self_mapping
522291,522291,self_mapping
522292,522292,self_mapping
522293,522299,official_crosswalk
522294,522299,official_crosswalk
522298,522299,official_crosswalk
522310,522310,self_mapping
522320,522320,self_mapping
522390,522390,self_mapping
523120,523150,official_crosswalk
523110,523150,official_crosswalk
523130,523160,official_crosswalk
523140,523160,official_crosswalk
523210,523210,self_mapping
523910,523910,self_mapping
523930,523940,official_crosswalk
523920,523940,official_crosswalk
523991,523991,self_mapping
523999,523999,self_mapping
524113,524113,self_mapping
524114,524114,self_mapping
524126,524126,self_mapping
524127,524127,self_mapping
524128,524128,self_mapping
524130,524130,self_mapping
524210,524210,self_mapping
524291,524291,self_mapping
524292,524292,self_mapping
524298,524298,self_mapping
525110,525110,self_mapping
525120,525120,self_mapping
525190,525190,self_mapping
525910,525910,self_mapping
525920,525920,self_mapping
525990,525990,self_mapping
531110,531110,self_mapping
531120,531120,self_mapping
531130,531130,self_mapping
531190,531190,self_mapping
531210,531210,self_mapping
531311,531311,self_mapping
531312,531312,self_mapping
531320,531320,self_mapping
531390,531390,self_mapping
532111,532111,self_mapping
532112,532112,self_mapping
532120,532120,self_mapping
532210,532210,self_mapping
532281,532281,self_mapping
532282,532282,self_mapping
532283,532283,self_mapping
532284,532284,self_mapping
532289,532289,self_mapping
532310,532310,self_mapping
532411,532411,self_mapping
532412,532412,self_mapping
532420,532420,self_mapping
532490,532490,self_mapping
533110,533110,self_mapping
541110,541110,self_mapping
541120,541120,self_mapping
541191,541191,self_mapping
541199,541199,self_mapping
541211,541211,self_mapping
541213,541213,self_mapping
541214,541214,self_mapping
541219,541219,self_mapping
541310,541310,self_mapping
541320,541320,self_mapping
541330,541330,self_mapping
541340,541340,self_mapping
541350,541350,self_mapping
541360,541360,self_mapping
541370,541370,self_mapping
541380,541380,self_mapping
541410,541410,self_mapping
541420,541420,self_mapping
541430,541430,self_mapping
541490,541490,self_mapping
541511,541511,self_mapping
541512,541512,self_mapping
541513,541513,self_mapping
541519,541519,self_mapping
541611,541611,self_mapping
541612,541612,self_mapping
541613,541613,self_mapping
541614,541614,self_mapping
541618,541618,self_mapping
541620,541620,self_mapping
541690,541690,self_mapping
541713,541713,self_mapping
541714,541714,self_mapping
541715,541715,self_mapping
541720,541720,self_mapping
541810,541810,self_mapping
541820,541820,self_mapping
541830,541830,self_mapping
541840,541840,self_mapping
541850,541850,self_mapping
541860,541860,self_mapping
541870,541870,self_mapping
541890,541890,self_mapping
541910,541910,self_mapping
541921,541921,self_mapping
541922,541922,self_mapping
541930,541930,self_mapping
541940,541940,self_mapping
541990,541990,self_mapping
551111,551111,self_mapping
551112,551112,self_mapping
551114,551114,self_mapping
561110,561110,self_mapping
561210,561210,self_mapping
561311,561311,self_mapping
561312,561312,self_mapping
561320,561320,self_mapping
561330,561330,self_mapping
561410,561410,self_mapping
561421,561421,self_mapping
561422,561422,self_mapping
561431,561431,self_mapping
561439,561439,self_mapping
561440,561440,self_mapping
561450,561450,self_mapping
561491,561491,self_mapping
561492,561492,self_mapping
561499,561499,self_mapping
561510,561510,self_mapping
561520,561520,self_mapping
561591,561591,self_mapping
561599,561599,self_mapping
561611,561611,self_mapping
561612,561612,self_mapping
561613,561613,self_mapping
561621,561621,self_mapping
561622,561622,self_mapping
561710,561710,self_mapping
561720,561720,self_mapping
561730,561730,self_mapping
561740,561740,self_mapping
561790,561790,self_mapping
561910,561910,self_mapping
561920,561920,self_mapping
561990,561990,self_mapping
562111,562111,self_mapping
562112,562112,self_mapping
562119,562119,self_mapping
562211,562211,self_mapping
562212,562212,self_mapping
562213,562213,self_mapping
562219,562219,self_mapping
562910,562910,self_mapping
562920,562920,self_mapping
562991,562991,self_mapping
562998,562998,self_mapping
611110,611110,self_mapping
611210,611210,self_mapping
611310,611310,self_mapping
611410,611410,self_mapping
611420,611420,self_mapping
611430,611430,self_mapping
611511,611511,self_mapping
611512,611512,self_mapping
611513,611513,self_mapping
611519,611519,self_mapping
611610,611610,self_mapping
611620,611620,self_mapping
611630,611630,self_mapping
611691,611691,self_mapping
611692,611692,self_mapping
611699,611699,self_mapping
611710,611710,self_mapping
621111,621111,self_mapping
621112,621112,self_mapping
621210,621210,self_mapping
621310,621310,self_mapping
621320,621320,self_mapping
621330,621330,self_mapping
621340,621340,self_mapping
621391,621391,self_mapping
621399,621399,self_mapping
621410,621410,self_mapping
621420,621420,self_mapping
621491,621491,self_mapping
621492,621492,self_mapping
621493,621493,self_mapping
621498,621498,self_mapping
621511,621511,self_mapping
621512,621512,self_mapping
621610,621610,self_mapping
621910,621910,self_mapping
621991,621991,self_mapping
621999,621999,self_mapping
622110,622110,self_mapping
622210,622210,self_mapping
622310,622310,self_mapping
623110,623110,self_mapping
623210,623210,self_mapping
623220,623220,self_mapping
623311,623311,self_mapping
623312,623312,self_mapping
623990,623990,self_mapping
624110,624110,self_mapping
624120,624120,self_mapping
624190,624190,self_mapping
624210,624210,self_mapping
624221,624221,self_mapping
624229,624229,self_mapping
624230,624230,self_mapping
624310,624310,self_mapping
624410,624410,self_mapping
711110,711110,self_mapping
711120,711120,self_mapping
