Country,iso3,HS_Section,sector_code,impVal,bea_total,weight
Australia,AUS,5,21,613702879.0,613702879.0,1.0
Australia,AUS,1,31ND,4148853350.0,7254530146.0,0.57189828514085
Australia,AUS,2,31ND,208115274.0,7254530146.0,0.028687629634394796
Australia,AUS,3,31ND,282277689.0,7254530146.0,0.0389105404925007
Australia,AUS,4,31ND,557641287.0,7254530146.0,0.07686800878585803
Australia,AUS,5,31ND,13405539.0,7254530146.0,0.001847885215197781
Australia,AUS,6,31ND,1791717338.0,7254530146.0,0.24697910160148917
Australia,AUS,7,31ND,105155517.0,7254530146.0,0.014495151978654414
Australia,AUS,8,31ND,2093901.0,7254530146.0,0.0002886335789995351
Australia,AUS,9,31ND,9633.0,7254530146.0,1.3278599449078643e-06
Australia,AUS,10,31ND,82418690.0,7254530146.0,0.011360996279744455
Australia,AUS,11,31ND,48330212.0,7254530146.0,0.00666207335655615
Australia,AUS,12,31ND,9530483.0,7254530146.0,0.0013137284990475799
Australia,AUS,13,31ND,31637.0,7254530146.0,4.360999177519994e-06
Australia,AUS,16,31ND,1019390.0,7254530146.0,0.00014051771506691868
Australia,AUS,17,31ND,1094036.0,7254530146.0,0.00015080728565215615
Australia,AUS,18,31ND,9804.0,7254530146.0,1.3514314232198381e-06
Australia,AUS,20,31ND,2826366.0,7254530146.0,0.00038960014544269287
Australia,AUS,5,33DG,1398826.0,7304724653.0,0.00019149606130951311
Australia,AUS,6,33DG,104690336.0,7304724653.0,0.014331866151450951
Australia,AUS,7,33DG,5458851.0,7304724653.0,0.0007473041434570827
Australia,AUS,8,33DG,5460.0,7304724653.0,7.474614389137331e-07
Australia,AUS,9,33DG,9034392.0,7304724653.0,0.0012367874805917069
Australia,AUS,10,33DG,28328.0,7304724653.0,3.878038029587588e-06
Australia,AUS,11,33DG,3220050.0,7304724653.0,0.0004408174370648656
Australia,AUS,12,33DG,417102.0,7304724653.0,5.710030422963295e-05
Australia,AUS,13,33DG,45548597.0,7304724653.0,0.00623549814178054
Australia,AUS,14,33DG,3205591166.0,7304724653.0,0.4388380559537567
Australia,AUS,15,33DG,1147062670.0,7304724653.0,0.15703024063048143
Australia,AUS,16,33DG,1070841464.0,7304724653.0,0.1465957328809393
