"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"June 30, 2025"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
5415,Computer systems design and related services,291,87,19,7263,416,40,991,1037,581,1284,626,1492,1270,345,1030,700,354,352,197,158,1630,47,34,17,1905,5,23,35,247,7,124,6,96,13,512,2906,192,221,243,193,1004,125,580,69,29,297,420,598,65,31,55,189,526,1268,2781,4835,3045,4431,729,1682,683,2855,161,0,5493,847,1774,858,876,952,526,3257,894,238,1003,67,868,579,19,255,0,323,4761,3736,587,368,933,2077,445,9070,8338,7820,10068,2082,2939,2749,1345,942,0,5668,930,3858,11180,1012,1259,2809,3912,1704,1589,2081,3653,2521,10824,664,2951,2992,312,219,729,582,6236,1201,2426,665,1740,1159,7732,1007,1382,1913,0,5510,17494,170,9944,10110,20181,5730,286585,0,91304,342948,0,0,0,51912,-47177,0,934,12494,0,0,0,35343,0,0,497,10507,0,498762,785347
5412,"Accounting, tax preparation, bookkeeping, and payroll services",603,590,51,782,316,41,1448,1909,173,1202,618,1323,1182,171,903,668,510,429,224,174,729,37,14,15,408,1,12,13,39,10,260,6,108,5,291,380,84,316,166,197,1156,467,15,125,23,405,199,388,179,65,8,279,625,752,2173,4697,4173,4278,1105,2250,672,3585,382,0,4374,2031,977,894,1046,1181,592,2376,1320,108,461,190,2319,547,31,736,62,558,617,1445,860,793,912,2686,429,731,2825,4771,10075,2497,6282,5212,2230,500,1,6865,2450,2337,3787,5341,2218,3533,3058,741,3428,6944,3621,1793,5285,703,999,3289,661,678,713,1245,13121,2666,3150,2737,2958,821,5842,2966,4060,3290,0,0,19,413,3908,5915,6759,3225,228617,27310,0,0,0,0,0,4402,-8550,0,0,0,0,0,0,0,0,0,0,0,0,23162,251779
5413,"Architectural, engineering, and related services",5,1,262,3418,1068,722,719,2015,2408,9202,6197,17437,5851,3569,10331,4544,1041,722,1034,293,1089,154,63,47,471,0,1,2,78,1,264,0,436,19,662,285,668,209,141,201,2321,225,97,112,58,1189,579,416,704,229,11,258,1054,0,395,800,2040,1269,8314,1194,332,1428,67,0,484,196,583,264,178,133,200,971,256,127,1264,3,415,46,313,267,4,290,113,212,261,26,1126,9505,457,715,119,127,2079,4,192,564,1355,3298,2,53221,4517,435,13096,387,18512,6581,30518,80,1004,3735,518,3183,3933,990,460,1993,52,314,217,412,2374,620,1084,101,1358,385,2612,39,225,437,0,67885,6355,983,7995,4691,26184,20714,413071,0,49750,0,1900,0,0,26852,-14634,0,0,0,0,0,0,0,0,0,0,0,0,63868,476939
5416,"Management, scientific, and technical consulting services",1,0,3,180,41,58,156,488,309,534,239,1025,334,88,376,177,160,75,37,84,193,9,13,6,264,1,5,4,35,4,187,2,449,1,131,28,100,164,162,77,889,149,337,35,1,193,91,473,353,64,57,186,238,2020,3606,5693,6228,4991,2588,1755,310,5484,50,0,2432,1326,520,495,1162,567,755,9097,553,10,21,353,922,1067,73,731,118,676,1385,4569,1248,679,827,1325,427,8285,8017,23709,32590,21,253,9231,364,0,0,1973,2927,1637,7066,1087,11647,6056,38433,785,3374,14253,920,2462,4742,986,1460,8014,308,555,1586,2061,16439,4580,3313,4335,1934,1800,4678,1375,2797,11126,0,132,8948,20,8204,2403,13395,1154,354764,0,0,0,0,0,0,93323,-47844,0,0,0,0,0,0,0,0,0,0,0,0,45479,400243
5417,Scientific research and development services,0,0,2,0,0,0,1623,317,0,37,0,0,0,0,0,0,62,39,32,27,99,4,2,0,38,0,0,0,2,0,6,0,0,0,36,10,27,61,13,17,152,12,0,3,0,55,34,50,9,6,1,7,117,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53,0,0,0,26,0,0,43,110,33,71,17,1206,724,0,0,0,0,0,0,0,0,0,1958,0,667,132,9115,0,0,3548,0,0,0,132,6,0,0,0,0,0,4038,0,0,3,0,0,0,0,0,115,0,0,0,444,0,0,798,408,26591,7740,0,765446,0,0,0,56662,-33559,0,0,80933,0,0,0,130040,0,0,0,26442,0,1033704,1060295
5418,"Advertising, public relations, and related services",2,0,2,285,38,119,1118,397,266,1331,614,1825,814,163,1502,395,453,591,294,492,1675,73,79,64,1146,73,171,55,300,33,683,9,647,27,598,532,170,800,847,1072,5335,1703,201,322,128,653,479,243,272,101,665,530,1241,11029,6265,11701,3967,12656,13383,3412,1422,13137,1752,0,29305,7042,3466,4392,3559,1351,5492,48588,9297,1102,212,1638,1253,643,7,430,92,910,1788,14922,1622,6278,3733,7944,1322,10556,38040,22615,5933,3158,13221,4500,127,0,33,17686,14166,6627,12439,974,1548,6570,17990,3955,4762,20039,5198,8126,22907,887,8362,2355,933,826,929,927,4953,1218,1846,3883,6674,5062,25587,1971,11361,4321,0,604,993,365,1333,3313,4552,2004,603169,832,0,0,0,0,0,34061,-10783,0,0,0,0,0,0,0,0,0,0,0,0,24110,627279
541X,"Specialized design services and other professional, scientific, and technical services",187,1037,39,1025,51,98,5022,576,160,99,219,981,401,127,655,216,265,1030,681,538,1658,119,20,39,804,0,1,4,84,2,285,4,64,7,847,331,574,611,324,357,2597,253,66,118,39,396,297,493,284,196,40,263,1896,356,1382,2270,1819,2526,947,2217,1509,2959,228,0,601,916,931,893,724,986,144,2647,286,252,109,0,985,888,2364,405,25,284,2398,209,3087,329,645,2941,289,255,2297,13575,11909,163,1999,4,99,3,1,5604,1564,691,5246,2161,8185,2469,21616,8961,3532,5341,880,598,2404,221,515,3763,226,110,498,525,12187,727,1963,436,861,150,3079,113,750,910,0,0,0,263,1814,1043,7813,3490,207045,78391,0,1808,0,0,0,9591,-4881,0,0,0,0,0,0,0,0,0,0,0,0,84909,291954
55,Management of companies and enterprises,0,0,0,39719,5912,2362,0,0,1106,0,1360,7620,1765,2188,3857,1512,460,2490,378,844,3997,533,736,419,10179,786,372,873,761,291,2205,132,3589,190,6187,3405,551,476,994,2655,22747,1845,5423,1001,544,2151,490,2521,2225,2522,1165,6772,2053,11283,15036,26757,7917,19646,15797,15602,9455,20110,1263,0,3203,3774,13924,466,449,124,24356,4081,7077,2747,0,987,5368,294,0,4357,3860,1830,1819,2767,568,3493,415,207,85,3931,41,7341,19355,1134,5148,234,1533,0,53,48942,25407,4305,5211,3505,5582,3455,8211,1787,3187,0,9447,4825,9751,5229,5177,30073,3499,516,4878,4943,11350,6177,2390,3067,2917,4657,91607,8089,6356,0,0,0,0,0,0,0,0,0,754790,0,0,0,0,0,0,4420,0,0,0,0,0,0,0,0,0,0,0,0,0,4420,759210
5613,Employment services,1,10,2,32,8,445,4521,1563,163,621,80,2251,883,361,862,330,113,469,937,959,3554,56,114,204,520,22,131,145,60,13,194,0,32,22,832,1976,1202,29,226,240,843,29,142,54,203,281,1291,428,313,52,57,335,489,1346,2471,4081,2561,5612,1150,1924,178,3500,255,0,3543,551,325,1035,1294,533,617,5979,1404,347,9,477,6931,7154,981,2968,1549,4092,994,15002,1027,1346,23417,7125,643,6622,21719,12944,13737,932,290,5369,11,0,1,11807,6338,2916,28851,1957,9206,9006,13169,2476,6243,7035,41441,9946,16556,3240,3986,9421,73,492,3931,4074,42818,8812,2826,1534,1712,1241,8352,6859,4713,2093,0,2815,33,55,2405,1025,6744,2066,491013,1707,0,0,0,0,0,3963,-3571,0,0,0,0,0,0,0,0,0,0,0,0,2099,493112
5617,Services to buildings and dwellings,209,110,12,332,281,175,115,309,36,273,159,1043,380,119,279,191,331,194,199,158,427,12,31,20,203,0,2,14,25,0,123,6,140,8,404,348,105,102,53,49,1475,174,97,67,13,676,223,545,612,233,100,316,545,480,578,1082,1108,1464,315,1024,394,1216,108,0,1161,835,2282,541,379,796,381,812,569,515,417,7,265,1801,156,1335,30,228,92,351,166,71,208,391,58,391,1191,1534,1566,275,583,10,119,256,149,189050,4528,328,460,134,395,418,617,225,450,898,1253,1504,1720,599,1082,667,80,83,467,196,4336,940,1211,483,1550,2631,5184,484,851,1461,0,70,64,167,3060,1279,14656,1285,284609,35183,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,35252,319861
561X,Other administrative and support services,25,4,7,192,88,207,976,407,61,436,445,787,432,104,506,245,468,509,939,940,3783,61,104,194,620,21,122,134,65,22,168,5,87,22,866,2190,1243,197,414,521,1035,46,65,45,456,275,1345,523,391,63,59,341,659,2354,3299,4527,3535,6556,3392,5393,5084,13111,874,0,3884,1386,2190,1988,1114,1605,557,5402,1061,3320,486,7411,3348,4836,2009,4750,141,1178,1229,5159,576,163,955,1721,277,2233,6199,10463,3479,1790,2821,2518,3,2686,18,18890,39077,6172,10780,1227,5113,6914,9248,2082,2120,11383,4011,2309,8312,1494,2826,9270,272,295,1374,1357,14927,2999,1449,3447,1193,1439,3992,273,1049,3751,0,3896,14893,465,4248,3496,15521,6711,389276,58435,0,0,0,0,0,2262,-783,0,0,0,0,0,0,0,0,0,0,0,0,59914,449190
562,Waste management and remediation services,41,36,1,637,67,49,242,213,77,442,164,492,227,109,453,164,127,208,155,122,275,9,13,9,159,6,2,36,25,0,49,3,29,3,123,146,34,82,48,44,1046,158,39,41,2,226,79,292,841,143,46,193,249,99,51,457,102,656,55,204,31,310,23,0,788,247,162,86,101,396,76,104,142,31,148,4,855,35,331,295,8,130,16,22,24,15,2,2,40,35,36,341,199,968,201,20,193,3,0,68818,1347,292,389,282,158,472,1116,171,348,485,74,1857,1112,13655,365,1048,102,216,208,187,2017,677,531,94,536,854,2005,223,504,467,0,118,715,244,3459,760,22705,4919,150050,40521,0,0,0,0,0,601,-525,0,0,0,0,0,0,0,0,0,0,0,0,40597,190647
61,Educational services,1,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,283,122,203,375,192,0,465,0,364,0,0,273,590,0,954,0,1178,0,1028,102,97,3,0,0,0,3,13,0,0,0,0,0,0,6,2,0,29,0,48,12,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,0,0,37,205,130,0,3464,0,0,0,0,0,6,0,0,5230,749,0,0,0,13,3791,0,0,44,173,7125,2009,5315,9,34709,459417,0,0,0,0,0,4809,-2506,0,0,0,0,0,0,0,0,0,0,0,0,461720,496429
6211,Offices of physicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,575,0,0,700,652422,0,0,0,0,0,186,-63,0,0,0,0,0,0,0,0,0,0,0,0,652545,653245
6212,Offices of dentists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172698,0,0,0,0,0,72,-63,0,0,0,0,0,0,0,0,0,0,0,0,172707,172707
6213,Offices of other health practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9682,0,0,9688,144732,0,0,0,0,0,72,-63,0,0,0,0,0,0,0,0,0,0,0,0,144741,154429
6214,Outpatient care centers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,5029,0,0,6219,238647,0,0,0,0,0,80,-63,0,0,0,0,0,0,0,0,0,0,0,0,238664,244883
6215OH,Other ambulatory health care services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,106,0,0,12683,0,0,4993,242,18068,108,0,167,5,0,0,0,0,82,0,0,0,0,0,349,0,0,36973,247841,0,0,0,0,0,215,-189,0,0,0,0,0,0,0,0,0,0,0,0,247867,284840
622,Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,1431192,0,0,0,0,0,11113,-10011,0,0,0,0,0,0,0,0,0,0,0,0,1432294,1432695
623,Nursing and residential care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350,0,0,2274,0,0,6624,311448,0,0,0,0,0,143,-126,0,0,0,0,0,0,0,0,0,0,0,0,311465,318089
624,Social assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337000,337000
711AS,"Performing arts, spectator sports, museums, and related activities",52,47,0,1,0,17,84,28,4,122,23,112,13,1,69,16,46,44,51,25,83,6,3,6,44,0,0,0,4,0,6,3,0,0,43,7,10,19,21,13,139,16,2,4,1,54,44,40,21,10,1,5,120,451,487,811,729,1014,32,766,14,713,14,0,849,520,98,160,39,222,32,500,90,0,133,0,98,37,0,395,3,8,93,163,12152,20792,10419,125,32,654,150,4147,1152,0,201,42,417,0,1,8819,661,670,1760,723,587,756,249,4197,470,4872,816,450,1697,166,702,1275,91,40,143,153,1870,287,1550,34827,1349,262,5704,33,1147,1070,0,0,32,51,874,334,928,71,139921,70737,0,9818,0,0,0,44445,-2150,0,0,0,0,0,0,0,0,0,0,0,0,122850,262771
713,"Amusements, gambling, and recreation industries",30,44,1,0,1,25,112,48,5,94,50,254,27,3,137,26,38,58,29,15,69,3,2,5,35,0,0,0,5,0,4,3,0,0,35,7,8,21,17,12,85,12,3,2,0,33,34,17,20,8,0,5,70,281,112,239,290,312,0,620,0,402,0,0,39,136,7,210,0,263,0,594,182,0,1,0,0,0,0,38,0,3,37,88,56,6,20,94,38,556,152,2196,842,0,83,40,114,0,2,0,522,317,1471,318,361,449,195,202,274,2243,568,211,962,129,207,1405,50,34,46,82,65,133,339,191,538,491,2034,14,46,135,0,2670,24,3,631,0,3129,202,30256,280291,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,280289,310545
721,Accommodation,0,1,0,2,8,104,724,220,18,506,23,30,11,1,18,6,155,208,127,68,309,17,10,26,167,0,0,1,21,0,29,14,72,1,156,31,34,87,82,58,382,53,15,14,4,146,196,76,92,34,5,37,327,1460,190,1023,351,812,0,336,0,378,0,0,59,61,60,93,3,96,4,179,8,0,15,0,0,0,15,472,1,17,183,430,322,33,99,465,190,3735,729,10851,4214,0,409,190,575,0,13,18612,2914,1225,7434,1129,1941,1507,853,719,1004,1085,2700,897,2643,745,1010,4109,250,170,279,408,340,383,750,177,479,296,5399,71,171,577,0,3964,2356,75,1570,629,2876,254,104798,163183,0,0,0,0,0,42644,0,0,0,0,0,0,0,0,0,0,0,0,0,205827,310625
722,Food services and drinking places,219,187,8,24,28,227,1617,288,2,503,17,24,19,3,76,156,240,275,196,112,391,26,12,29,236,0,0,2,22,5,61,15,69,2,206,53,45,103,96,76,623,93,15,35,15,234,194,176,111,44,11,48,441,862,1088,2376,1844,1767,119,1628,59,1744,46,0,1486,1019,1376,864,299,1206,259,2418,619,8117,3,20,1413,281,101,543,1358,357,168,410,479,28,97,515,147,3388,558,17425,4490,5,3096,148,1449,0,11,58382,7669,2399,10332,2983,4920,4816,4298,1530,3693,5692,3302,1113,9766,735,1540,17465,333,987,16482,613,27875,10563,6504,752,3004,13696,12708,228,1075,874,0,1531,803,411,9337,6946,5475,825,335053,1084031,0,0,0,0,0,51373,0,0,0,0,0,0,0,0,0,0,0,0,0,1135404,1470457
811,Repair and maintenance,140,65,44,115,102,151,159,740,1163,1605,525,1432,1080,633,772,1356,486,1044,810,670,1507,53,69,52,717,14,29,320,137,1,187,9,239,13,643,588,151,156,257,173,2338,259,153,104,22,1105,347,914,1013,400,168,549,994,1347,502,1213,2399,4020,557,2774,1638,4153,433,0,2514,2438,2511,1415,634,2282,318,1867,717,451,43,851,8300,5311,537,1718,48,778,175,1158,176,281,1625,2758,243,1720,385,3332,3820,5,2980,132,98,0,0,5833,8292,790,2694,228,1723,1476,2642,415,1060,7043,497,12071,8302,6711,2895,1783,499,152,695,1156,10142,785,937,821,1939,1199,13395,2067,2555,911,0,4225,16227,665,10777,4560,12684,5378,253654,284377,0,0,0,0,0,105,-4502,0,0,0,0,0,0,0,0,0,0,0,0,279980,533634
812,Personal and laundry services,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,3,58,42,35,74,0,0,0,20,0,0,0,0,0,0,0,0,0,13,10,11,0,11,1,2,0,0,6,0,0,0,1,0,0,0,0,4,311,334,443,463,905,0,517,0,1649,122,0,775,62,58,48,38,329,1,61,505,2,20,0,14,54,0,782,8,0,15,3,11,3,52,393,18,7,0,122,80,0,6,1,0,0,0,944,123,115,44,793,677,1869,1527,379,631,18,22,153,384,20,78,537,340,64,422,117,4231,867,541,254,559,461,1710,283,2459,56,0,222,21,39,923,949,22330,107,53784,262592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262592,316376
813,"Religious, grantmaking, civic, professional, and similar organizations",62,35,0,42,11,21,95,111,14,117,104,461,81,31,507,87,34,32,18,14,36,3,1,0,20,0,0,0,1,0,4,0,0,0,14,3,5,12,7,8,73,6,2,3,1,28,13,28,2,4,1,3,49,189,0,153,183,165,0,412,0,124,0,0,106,45,23,85,30,130,37,227,64,54,39,0,178,62,14,67,12,30,27,33,45,2,16,105,5,86,12,3957,2309,302,2420,1,144,5291,19185,1350,4455,128,505,91,156,119,549,58,93,415,80,128,164,36,69,578,113,77,97,158,576,169,76,221,26,15,627,33,259,83,0,0,0,11,0,0,0,28,50116,293481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293481,343597
814,Private households,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25456,25456
GFGD,Federal general government (defense),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783196,0,0,0,0,0,0,0,0,0,0,0,783196,783196
GFGN,Federal general government (nondefense),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5450,0,0,0,0,0,536983,0,0,0,0,0,0,0,542433,542433
GFE,Federal government enterprises,4,4,2,0,3,0,129,91,0,9,0,0,0,0,0,0,0,0,8,32,106,24,26,4,157,2,3,10,21,4,140,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,46,33,41,0,0,0,0,848,1561,3101,1914,4249,2843,1807,1069,3493,306,0,1124,604,340,481,603,281,373,3586,566,2,0,2351,3142,484,141,180,608,596,333,35,281,0,19,120,18,905,818,1812,3086,70,3,39,0,0,0,781,2690,253,581,277,276,664,297,483,305,215,107,47,1045,144,270,549,114,93,159,344,3544,276,589,167,153,1305,9402,48,204,275,0,0,145,77,364,339,1841,121,73653,6621,0,0,0,0,0,473,-233,0,0,0,0,0,0,0,0,0,0,0,0,6861,80514
GSLGE,State and local government educational services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151888,0,0,0,1151888,1151888
GSLGH,State and local government hospitals and health services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95057,0,0,0,95057,95057
GSLGO,State and local government other services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156830,0,0,0,1156830,1156830
GSLE,State and local government enterprises,0,0,1,0,0,0,485,99,0,0,0,0,0,0,0,0,76,182,142,101,242,7,14,10,171,1,2,34,17,0,40,2,31,3,122,149,34,50,46,45,1028,166,39,48,7,211,67,279,864,147,48,203,199,155,50,497,102,264,33,199,30,197,22,0,593,274,152,108,109,283,78,111,162,2,0,0,463,5,145,89,5,122,17,40,51,18,5,9,43,67,53,552,339,0,48,26,0,0,0,5086,2661,464,310,75,173,284,515,63,430,454,66,584,995,1401,178,567,32,80,135,117,1040,556,346,108,249,890,2022,240,545,499,0,1297,596,209,3518,1655,3093,1937,44400,92239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92239,136639
