Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Costa Rica,CRI,33DG,7937972783.0,North America,RoWorld,0.004039910146599178,0.15557874244867284,1964888449235.0,51022219733.0
Costa Rica,CRI,Other,1072358151.0,North America,RoWorld,0.007310292204712542,0.12011392532220758,146691557734.0,8927842031.0
Croatia,HRV,11,4684279.0,Europe,Europe,5.852932664517403e-05,0.0008556182821547846,80033023930.0,5474729909.0
Croatia,HRV,21,52490.0,Europe,Europe,3.045598346873972e-07,2.1580116044732654e-05,172347085931.0,2432331684.0
Croatia,HRV,31ND,498004698.0,Europe,Europe,0.0005764448709939918,0.0015858078996308744,863924241604.0,314038477243.0
Croatia,HRV,33DG,484148621.0,Europe,Europe,0.000246400054511235,0.0013018652914236093,1964888449235.0,371888415944.0
Croatia,HRV,Other,13980749.0,Europe,Europe,9.530711389234609e-05,0.0002437472437716068,146691557734.0,57357567551.0
Cuba,CUB,31ND,3423.0,North America,RoWorld,3.9621529703168265e-09,8.20239652642761e-08,863924241604.0,41731705959.0
Cuba,CUB,33DG,5672.0,North America,RoWorld,2.8866778682567496e-09,1.1116725281027867e-07,1964888449235.0,51022219733.0
Cuba,CUB,Other,4860777.0,North America,RoWorld,3.3136037786265696e-05,0.0005444515016195407,146691557734.0,8927842031.0
Curacao,CUW,31ND,9907886.0,North America,RoWorld,1.1468466241443324e-05,0.0002374186669898941,863924241604.0,41731705959.0
Curacao,CUW,33DG,7279657.0,North America,RoWorld,3.7048703720733996e-06,0.00014267621122903998,1964888449235.0,51022219733.0
Curacao,CUW,Other,14748402.0,North America,RoWorld,0.00010054022349904894,0.0016519559764598616,146691557734.0,8927842031.0
Cyprus,CYP,11,1470507.0,Europe,Europe,1.8373752830908434e-05,0.0002685990038673157,80033023930.0,5474729909.0
Cyprus,CYP,21,2089482.0,Europe,Europe,1.2123686273619586e-05,0.0008590448472733869,172347085931.0,2432331684.0
Cyprus,CYP,31ND,18018638.0,Europe,Europe,2.0856733880445117e-05,5.737716651217025e-05,863924241604.0,314038477243.0
Cyprus,CYP,33DG,29542745.0,Europe,Europe,1.5035329365136238e-05,7.943980972090465e-05,1964888449235.0,371888415944.0
Cyprus,CYP,Other,7738937.0,Europe,Europe,5.2756526139242696e-05,0.0001349244281169848,146691557734.0,57357567551.0
Czech Republic,CZE,11,8070382.0,Europe,Europe,0.00010083814910028478,0.001474115095017375,80033023930.0,5474729909.0
Czech Republic,CZE,21,893960.0,Europe,Europe,5.186974848869224e-06,0.000367532111627914,172347085931.0,2432331684.0
Czech Republic,CZE,31ND,1248730186.0,Europe,Europe,0.001445416306042706,0.003976360466917385,863924241604.0,314038477243.0
Czech Republic,CZE,33DG,6391283429.0,Europe,Europe,0.0032527461960949237,0.017186024503550057,1964888449235.0,371888415944.0
Czech Republic,CZE,Other,432930382.0,Europe,Europe,0.002951297189065543,0.007547920884459684,146691557734.0,57357567551.0
Denmark,DNK,11,135616593.0,Europe,Europe,0.001694507921112859,0.024771375986431334,80033023930.0,5474729909.0
Denmark,DNK,21,3829567.0,Europe,Europe,2.2220085586670062e-05,0.0015744427559740656,172347085931.0,2432331684.0
Denmark,DNK,31ND,4548726026.0,Europe,Europe,0.00526519086622067,0.014484613687896082,863924241604.0,314038477243.0
Denmark,DNK,33DG,4922099009.0,Europe,Europe,0.0025050271993386423,0.013235419007354032,1964888449235.0,371888415944.0
Denmark,DNK,Other,430151029.0,Europe,Europe,0.0029323502704907203,0.007499464279365183,146691557734.0,57357567551.0
Dominica,DMA,11,39980.0,North America,RoWorld,4.995437887611003e-07,1.5772237752397197e-06,80033023930.0,25348337140.0
Dominica,DMA,31ND,429869.0,North America,RoWorld,4.975771940394752e-07,1.0300777073967018e-05,863924241604.0,41731705959.0
Dominica,DMA,33DG,588653.0,North America,RoWorld,2.995859638897991e-07,1.1537189151715263e-05,1964888449235.0,51022219733.0
Dominica,DMA,Other,1247693.0,North America,RoWorld,8.505554234160342e-06,0.00013975303277854334,146691557734.0,8927842031.0
Dominican Republic,DOM,11,376222978.0,North America,RoWorld,0.004700846719587396,0.01484211670067759,80033023930.0,25348337140.0
Dominican Republic,DOM,21,8153188.0,North America,RoWorld,4.730679347409546e-05,0.000256236469964092,172347085931.0,31818999072.0
