Country,sector_code,iso3,impVal
St Lucia,33DG,LCA,845004.0
St Lucia,Other,LCA,4062669.0
St Pierre and Miquelon,31ND,SPM,2500.0
St Pierre and Miquelon,33DG,SPM,2964.0
St Pierre and Miquelon,Other,SPM,3430259.0
St Vincent and the Grenadines,11,VCT,2029463.0
St Vincent and the Grenadines,31ND,VCT,78545.0
St Vincent and the Grenadines,33DG,VCT,95854.0
St Vincent and the Grenadines,Other,VCT,6060018.0
Suriname,11,SUR,46835929.0
Suriname,21,SUR,12500.0
Suriname,31ND,SUR,1472880.0
Suriname,33DG,SUR,10490396.0
Suriname,Other,SUR,32101705.0
"Svalbard, Jan Mayen Island",31ND,SJM,12285.0
"Svalbard, Jan Mayen Island",33DG,SJM,28303.0
"Svalbard, Jan Mayen Island",Other,SJM,1267.0
Sweden,11,SWE,54701080.0
Sweden,21,SWE,24730525.0
Sweden,31ND,SWE,5324434920.0
Sweden,33DG,SWE,12005525574.0
Sweden,Other,SWE,586280569.0
Switzerland,11,CHE,9799589.0
Switzerland,21,CHE,1748682.0
Switzerland,31ND,CHE,26501190350.0
Switzerland,33DG,CHE,33153076591.0
Switzerland,Other,CHE,3759503390.0
Syria,11,SYR,696136.0
Syria,31ND,SYR,8692242.0
Syria,33DG,SYR,2642400.0
Syria,Other,SYR,9272158.0
Taiwan,11,TWN,213615461.0
Taiwan,21,TWN,818288.0
Taiwan,31ND,TWN,7098361417.0
Taiwan,33DG,TWN,106360269103.0
Taiwan,Other,TWN,2590962618.0
Tajikistan,11,TJK,71285.0
Tajikistan,31ND,TJK,207353.0
Tajikistan,33DG,TJK,3918536.0
Tajikistan,Other,TJK,436764.0
Thailand,11,THA,1044517812.0
Thailand,21,THA,1179205.0
Thailand,31ND,THA,12184521176.0
Thailand,33DG,THA,49322988131.0
Thailand,Other,THA,774973898.0
Timor-Leste,11,TLS,3656774.0
Timor-Leste,31ND,TLS,1601033.0
Timor-Leste,33DG,TLS,578235.0
Timor-Leste,Other,TLS,76634.0
Tokelau,33DG,TKL,3399.0
Tokelau,Other,TKL,174186.0
Tonga,11,TON,915637.0
Tonga,31ND,TON,282888.0
Tonga,33DG,TON,1206979.0
Tonga,Other,TON,439742.0
Trinidad and Tobago,11,TTO,13346652.0
Trinidad and Tobago,21,TTO,1789436478.0
Trinidad and Tobago,31ND,TTO,814012078.0
Trinidad and Tobago,33DG,TTO,633113703.0
Trinidad and Tobago,Other,TTO,75969060.0
Turkey,11,TUR,375043079.0
Turkey,21,TUR,72974810.0
Turkey,31ND,TUR,6965270549.0
Turkey,33DG,TUR,8690199594.0
Turkey,Other,TUR,642176025.0
Turkmenistan,31ND,TKM,10046652.0
Turkmenistan,33DG,TKM,407744.0
Turkmenistan,Other,TKM,4136189.0
Turks and Caicos Islands,11,TCA,3226185.0
Turks and Caicos Islands,31ND,TCA,136900.0
Turks and Caicos Islands,33DG,TCA,1205637.0
Turks and Caicos Islands,Other,TCA,6414907.0
Tuvalu,31ND,TUV,3221.0
Tuvalu,33DG,TUV,190631.0
Tuvalu,Other,TUV,30595.0
Ukraine,11,UKR,40364208.0
Ukraine,21,UKR,30888132.0
Ukraine,31ND,UKR,321676313.0
Ukraine,33DG,UKR,763495751.0
Ukraine,Other,UKR,30073889.0
United Arab Emirates,11,ARE,15614941.0
United Arab Emirates,21,ARE,1167005372.0
United Arab Emirates,31ND,ARE,1790851458.0
United Arab Emirates,33DG,ARE,3180623935.0
United Arab Emirates,Other,ARE,1320336918.0
United Kingdom,11,GBR,323440924.0
United Kingdom,21,GBR,1532242566.0
United Kingdom,31ND,GBR,18730016073.0
United Kingdom,33DG,GBR,39474540927.0
United Kingdom,Other,GBR,8024227842.0
Uruguay,11,URY,85310718.0
Uruguay,21,URY,130958.0
Uruguay,31ND,URY,960081650.0
Uruguay,33DG,URY,145781146.0
Uruguay,Other,URY,37529680.0
Uzbekistan,11,UZB,2634020.0
Uzbekistan,31ND,UZB,10560800.0
Uzbekistan,33DG,UZB,14028018.0
Uzbekistan,Other,UZB,15214747.0
Vanuatu,11,VUT,12156280.0
