Country,summary_code,iso3,impVal
Cambodia,Other,KHM,67476919.0
Canada,111CA,CAN,9757568484.0
Canada,113FF,CAN,3149356815.0
Canada,211,CAN,106246484961.0
Canada,212,CAN,1573727580.0
Canada,311FT,CAN,31926569507.0
Canada,313TT,CAN,989430054.0
Canada,315AL,CAN,871121019.0
Canada,321,CAN,11065405905.0
Canada,322,CAN,9562926505.0
Canada,323,CAN,832631970.0
Canada,324,CAN,15694192264.0
Canada,325,CAN,29929293897.0
Canada,326,CAN,10807028265.0
Canada,327,CAN,2358852793.0
Canada,331,CAN,32194990921.0
Canada,332,CAN,8337624868.0
Canada,333,CAN,21460123206.0
Canada,334,CAN,7549763049.0
Canada,335,CAN,8190969498.0
Canada,3361MV,CAN,52318607153.0
Canada,3364OT,CAN,16117908432.0
Canada,337,CAN,3756651420.0
Canada,339,CAN,3086338954.0
Canada,Other,CAN,24918152357.0
Cayman Islands,111CA,CYM,121500.0
Cayman Islands,212,CYM,7888.0
Cayman Islands,311FT,CYM,344431.0
Cayman Islands,313TT,CYM,5000.0
Cayman Islands,315AL,CYM,8076.0
Cayman Islands,322,CYM,33657.0
Cayman Islands,323,CYM,6426.0
Cayman Islands,325,CYM,23600.0
Cayman Islands,326,CYM,7800.0
Cayman Islands,327,CYM,3500.0
Cayman Islands,331,CYM,45000.0
Cayman Islands,332,CYM,110167.0
Cayman Islands,333,CYM,205618.0
Cayman Islands,334,CYM,14965309.0
Cayman Islands,335,CYM,17236788.0
Cayman Islands,3361MV,CYM,213604.0
Cayman Islands,3364OT,CYM,3000.0
Cayman Islands,337,CYM,25845.0
Cayman Islands,339,CYM,249937.0
Cayman Islands,Other,CYM,15782404.0
Chile,111CA,CHL,3987101731.0
Chile,113FF,CHL,995972379.0
Chile,211,CHL,39332718.0
Chile,212,CHL,182410054.0
Chile,311FT,CHL,1352505268.0
Chile,313TT,CHL,14163098.0
Chile,315AL,CHL,9516541.0
Chile,321,CHL,1046160531.0
Chile,322,CHL,91892830.0
Chile,323,CHL,386123.0
Chile,324,CHL,85380751.0
Chile,325,CHL,731152439.0
Chile,326,CHL,380902891.0
Chile,327,CHL,26947908.0
Chile,331,CHL,6817444606.0
Chile,332,CHL,30802522.0
Chile,333,CHL,101874145.0
Chile,334,CHL,11826329.0
Chile,335,CHL,21643165.0
Chile,3361MV,CHL,48280904.0
Chile,3364OT,CHL,18955885.0
Chile,337,CHL,1112452.0
Chile,339,CHL,2081861.0
Chile,Other,CHL,471632825.0
China,111CA,CHN,513896911.0
China,113FF,CHN,1588204872.0
China,211,CHN,3368270.0
China,212,CHN,151619834.0
China,311FT,CHN,4882274075.0
China,313TT,CHN,13610020714.0
China,315AL,CHN,30626664293.0
China,321,CHN,1928346531.0
China,322,CHN,3285555504.0
China,323,CHN,2674333107.0
China,324,CHN,405864269.0
China,325,CHN,23209058292.0
China,326,CHN,19003162721.0
China,327,CHN,7097630438.0
China,331,CHN,3257856164.0
China,332,CHN,24814680726.0
China,333,CHN,32433681845.0
China,334,CHN,121550586854.0
China,335,CHN,55927779290.0
China,3361MV,CHN,15530725845.0
China,3364OT,CHN,4381959935.0
China,337,CHN,13262839144.0
China,339,CHN,47504173315.0
China,Other,CHN,11303103196.0
Christmas Island,111CA,CXR,19835.0
Christmas Island,315AL,CXR,6604.0
Christmas Island,323,CXR,10461.0
Christmas Island,327,CXR,4750.0
Christmas Island,332,CXR,187146.0
Christmas Island,333,CXR,291251.0
Christmas Island,334,CXR,380992.0
Christmas Island,335,CXR,75237.0
Christmas Island,3361MV,CXR,5289.0
Christmas Island,3364OT,CXR,52365.0
Christmas Island,337,CXR,12250.0
Christmas Island,339,CXR,614878.0
Christmas Island,Other,CXR,86184.0
Cocos (Keeling) Islands,313TT,CCK,9349.0
Cocos (Keeling) Islands,315AL,CCK,24469.0
Cocos (Keeling) Islands,322,CCK,58445.0
Cocos (Keeling) Islands,323,CCK,4920.0
Cocos (Keeling) Islands,326,CCK,8514.0
Cocos (Keeling) Islands,332,CCK,69253.0
Cocos (Keeling) Islands,333,CCK,35582.0
Cocos (Keeling) Islands,334,CCK,180362.0
Cocos (Keeling) Islands,335,CCK,54468.0
Cocos (Keeling) Islands,3361MV,CCK,170786.0
Cocos (Keeling) Islands,337,CCK,12460.0
Cocos (Keeling) Islands,339,CCK,42096.0
Cocos (Keeling) Islands,Other,CCK,429940.0
Colombia,111CA,COL,3286405325.0
Colombia,113FF,COL,119936886.0
Colombia,211,COL,5784495278.0
Colombia,212,COL,158081400.0
Colombia,311FT,COL,967795392.0
Colombia,313TT,COL,98798561.0
Colombia,315AL,COL,248508957.0
Colombia,321,COL,9298308.0
Colombia,322,COL,90480280.0
Colombia,323,COL,16601507.0
Colombia,324,COL,1551676719.0
Colombia,325,COL,424624556.0
Colombia,326,COL,233290801.0
Colombia,327,COL,173162038.0
Colombia,331,COL,1943316140.0
Colombia,332,COL,783837707.0
Colombia,333,COL,56761470.0
Colombia,334,COL,72302226.0
Colombia,335,COL,371012134.0
Colombia,3361MV,COL,47501815.0
Colombia,3364OT,COL,7149737.0
Colombia,337,COL,63306171.0
Colombia,339,COL,375318934.0
Colombia,Other,COL,806686621.0
Cook Islands,315AL,COK,15739.0
Cook Islands,323,COK,8808.0
Cook Islands,326,COK,800.0
Cook Islands,327,COK,2655.0
Cook Islands,332,COK,3002.0
Cook Islands,333,COK,25057.0
Cook Islands,334,COK,53933.0
Cook Islands,335,COK,40164.0
Cook Islands,3361MV,COK,12159.0
Cook Islands,339,COK,18257.0
Cook Islands,Other,COK,711545.0
Costa Rica,111CA,CRI,1628991393.0
Costa Rica,113FF,CRI,54682061.0
Costa Rica,212,CRI,5736127.0
Costa Rica,311FT,CRI,514157651.0
Costa Rica,313TT,CRI,16801791.0
Costa Rica,315AL,CRI,26325074.0
Costa Rica,321,CRI,2901810.0
Costa Rica,322,CRI,10192502.0
Costa Rica,323,CRI,4767604.0
Costa Rica,324,CRI,174436.0
Costa Rica,325,CRI,54273537.0
Costa Rica,326,CRI,308472221.0
Costa Rica,327,CRI,26931550.0
Costa Rica,331,CRI,109088919.0
Costa Rica,332,CRI,45028653.0
Costa Rica,333,CRI,39018864.0
Costa Rica,334,CRI,2979534660.0
Costa Rica,335,CRI,305635869.0
Costa Rica,3361MV,CRI,97419887.0
Costa Rica,3364OT,CRI,6027678.0
Costa Rica,337,CRI,23790100.0
Costa Rica,339,CRI,4302594793.0
Costa Rica,Other,CRI,1072358151.0
Croatia,111CA,HRV,3480640.0
Croatia,113FF,HRV,1203639.0
Croatia,212,HRV,52490.0
Croatia,311FT,HRV,90390795.0
Croatia,313TT,HRV,600398.0
Croatia,315AL,HRV,19251141.0
Croatia,321,HRV,5050611.0
Croatia,322,HRV,388662.0
Croatia,323,HRV,719877.0
Croatia,325,HRV,374919541.0
Croatia,326,HRV,11734284.0
Croatia,327,HRV,12790101.0
Croatia,331,HRV,3362152.0
Croatia,332,HRV,128329312.0
Croatia,333,HRV,108894155.0
Croatia,334,HRV,39039448.0
Croatia,335,HRV,159124365.0
Croatia,3361MV,HRV,12741573.0
Croatia,3364OT,HRV,6258154.0
Croatia,337,HRV,3196218.0
Croatia,339,HRV,5362532.0
Croatia,Other,HRV,13980749.0
Cuba,326,CUB,3423.0
Cuba,339,CUB,5672.0
Cuba,Other,CUB,4860777.0
Curacao,311FT,CUW,194080.0
Curacao,324,CUW,9548021.0
Curacao,325,CUW,135816.0
Curacao,326,CUW,29969.0
Curacao,331,CUW,699490.0
Curacao,332,CUW,165116.0
Curacao,333,CUW,266799.0
