country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Czechia,CZE,0.4641567365217658,0.0033307377593067232,0.596890827332282,7.633417428020406e-05,0.06314983187292122,0.7064307270163572
Germany,DEU,0.3233987235107807,0.0391589512262661,0.3482128611969542,0.02567872957474646,0.015599130021134396,0.9228851939484218
Djibouti,DJI,0.6964285714285713,0.003921190506879554,0.7,0.0036660678988013817,0.6714285714285713,0.0061277667888201
Dominica,DMA,0.8088235294117647,8.459695101481672e-05,0.8112745098039217,7.738036180608982e-05,0.5857843137254902,0.013478995289806905
Denmark,DNK,0.5047396144663934,0.0008957576895991488,0.585727957736819,7.16859563937913e-05,0.21492259522648582,0.18292199728210173
Dominican Republic,DOM,0.6535736112906599,6.4471965607989106e-06,0.7175282304858883,2.7407782001386176e-07,0.5272322440523167,0.0005633456609569231
Algeria,DZA,0.313382269904009,0.155560751936561,0.7752682100508189,2.2569555621554774e-05,0.22868435911914178,0.30599593936021585
Ecuador,ECU,0.7021574946396587,2.5897365246808073e-06,0.6830301248015326,6.152213240959728e-06,0.5864388013889887,0.0002137263621008924
Egypt,EGY,0.5738676945796004,0.00020444629759806468,0.5912704159211932,0.00011640365207650083,0.43798910408616604,0.006703449397921922
Eritrea,ERI,0.374140656558896,0.2078784368558637,0.4071530674317398,0.167337113419211,0.25859721850394285,0.39361026948777245
Spain,ESP,0.5489325139839417,0.00020209058048239648,0.5785529661750095,7.426333197613284e-05,0.412636204749002,0.0073384238602078045
Estonia,EST,0.5304717662891973,0.0005131870247022008,0.6668355285160162,3.565365836974726e-06,0.15731929862851388,0.3388360444969589
Ethiopia,ETH,0.8413675213675212,7.278794195334359e-08,0.8625641025641025,1.46041149056701e-08,0.6888888888888889,9.963379762569437e-05
Finland,FIN,0.35159498177792076,0.028171984358429464,0.5090174851681875,0.0009356927823772077,0.1464303985169566,0.3737272164644527
Fiji,FJI,0.8553846153846153,5.098977369778637e-08,0.9199999999999999,7.81567079807412e-11,0.5807692307692308,0.0023340730550554622
Falkland Islands,FLK,0.7500000000000002,0.05218140045705776,0.9642857142857145,0.0004541491691941689,0.14285714285714288,0.7599453002180929
France,FRA,0.5132026630975444,0.0006007921201402883,0.6106366749683193,2.2380711728862257e-05,0.2841830335135154,0.07174766348969132
Faroe Islands,FRO,0.4017661131838401,0.12294010274855478,0.6637235056626809,0.005055118789637942,0.27520242917720916,0.3022553591884895
"Micronesia, Fed. Sts.",FSM,0.4594861660079051,0.02740092263968177,0.5118577075098815,0.012533636281864734,0.018774703557312256,0.9322405344278781
Gabon,GAB,0.0536420101637493,0.8125892965812408,0.5772380913605707,0.004910268714055076,-0.10333145115753813,0.6472364124252026
United Kingdom,GBR,0.4159477519043267,0.006835097454058556,0.5013079498954648,0.0008414624003829753,0.1832679912538862,0.25140491158736844
Georgia,GEO,0.6040164978777077,9.594031558511032e-05,0.7397297090544454,2.5400963165205e-07,0.361997952266009,0.030043674092285918
Ghana,GHA,0.5623845343803244,0.001496322573375876,0.6500740069963893,0.00013510065180310355,0.35792585565247986,0.0565971857393262
Gibraltar,GIB,0.6666666666666669,0.07098765432098751,0.6666666666666669,0.07098765432098751,0.4523809523809524,0.260404767436885
Guinea,GIN,0.6721739130434782,0.00032109658002555796,0.644908860434503,0.0006682389803454689,0.4104347826086956,0.04635539124201927
Guadeloupe,GLP,0.519298245614035,0.02269420152703128,0.5151382681081585,0.024000036393495284,0.04035087719298246,0.8697227104002634
Gambia,GMB,0.3192982456140351,0.1826959462168637,0.5228070175438596,0.021636910536196267,-0.07368421052631578,0.7643412715216654
Guinea-Bissau,GNB,0.39999999999999997,0.6,0.39999999999999997,0.6,-0.39999999999999997,0.6
Equatorial Guinea,GNQ,0.0,1.0,0.6000000000000001,0.3999999999999999,0.0,1.0
Greece,GRC,0.6338954310810553,1.932045517132078e-05,0.6591087315120301,6.8048301069844795e-06,0.5060215341030462,0.0011903299996473078
Grenada,GRD,0.4964285714285714,0.05979741374992401,0.6857142857142856,0.004772245222691258,0.21428571428571427,0.44314093482351424
Greenland,GRL,0.22727272727272727,0.501535667604937,0.6545454545454547,0.028864598957001886,-0.10909090909090911,0.7495085962341482
Guatemala,GTM,0.6077487285794307,5.192276267473388e-05,0.809837269747123,7.384659103460689e-10,0.45802781003149967,0.003831866500952327
French Guiana,GUF,0.4047619047619048,0.3198886412288162,0.4523809523809524,0.260404767436885,-0.2142857142857143,0.6103444156452669
Guyana,GUY,0.2537258302285301,0.18414219565746098,0.6288812986560977,0.00025823051436816256,0.10050498906139833,0.6039385025166726
