country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Japan,JPN,0.3022994232421445,0.057972198700790484,0.39729257412846597,0.01113395927378403,0.03200375762979548,0.8445779017424352
Kazakhstan,KAZ,0.6298897042118065,8.567922053207717e-05,0.8027416028729019,1.9107437296034724e-08,0.4326312511943086,0.011916543328824343
Kenya,KEN,0.3774774153104504,0.02538361345069975,0.6744169776325859,8.898216651874053e-06,0.1987534145920331,0.25237410168437807
Kyrgyz Republic,KGZ,0.6246153846153845,0.0006474658947659166,0.671111111111111,0.00017483628043564258,0.20957264957264954,0.3041724576876233
Cambodia,KHM,0.8558398220244716,1.6609129919250088e-09,0.9012235817575083,1.1167932235809867e-11,0.6769744160177975,3.988697499987758e-05
Kiribati,KIR,0.8571428571428572,0.006530017254715292,0.880952380952381,0.0038503204637324014,0.38095238095238104,0.35181255311756476
St. Kitts and Nevis,KNA,0.5844089575912004,0.010865674782946285,0.6236448946732951,0.005681898419577097,0.2044398826909146,0.41579141308263934
South Korea,KOR,0.4036602978467754,0.009795487645883406,0.5194744823487332,0.0005925289955471246,0.13636791740789692,0.4014426618895902
Kuwait,KWT,0.18230769230769234,0.3830917730325135,0.6538461538461537,0.00039287395633571664,0.14384615384615382,0.49271954928907735
Laos,LAO,0.5139573070607554,0.005146928350459677,0.8308702791461413,4.4201393841045625e-08,-0.0782703886152162,0.6921836339404283
Lebanon,LBN,0.6930693112193758,2.183711394185655e-05,0.7375681434003951,3.316410061158931e-06,0.5293136087932248,0.002632049943075713
Liberia,LBR,0.4617647058823529,0.07176841584053797,0.6205882352941177,0.010313515549677674,0.16176470588235295,0.5494831434036929
Libya,LBY,0.2797202797202798,0.37856866966230307,0.2937062937062937,0.35414764123292175,0.2797202797202798,0.37856866966230307
St. Lucia,LCA,0.5178571428571428,0.04800407736655833,0.6321428571428571,0.011457541540078888,0.0,1.0
Liechtenstein,LIE,0.7112906459716266,6.716996875078682e-05,0.7897672775444832,2.673727546109506e-06,0.3858434385665449,0.05678447225480406
Sri Lanka,LKA,0.6465438772070646,2.7157811558682247e-05,0.7801666802520256,3.286169165771744e-08,0.3627705030256277,0.03220962299853568
Lesotho,LSO,0.9285714285714288,0.0025194724037946874,0.9285714285714288,0.0025194724037946874,0.7142857142857144,0.07134356146753759
Lithuania,LTU,0.7038312232851274,1.1748250181279571e-06,0.7811648865109284,1.1647070354775181e-08,0.5230697159904637,0.0008947629143661147
Luxembourg,LUX,0.3733040221657196,0.03533812792217305,0.5944261492442353,0.0003339051187635139,0.1444811244924298,0.43014474503828903
Latvia,LVA,0.5491570781178884,0.00035630061668109615,0.6606088136689271,6.3756240051784175e-06,0.15655793893711728,0.3479080279146445
Macau,MAC,0.7921367521367522,1.4218535892024826e-06,0.7928205128205127,1.3719503776751967e-06,0.5261538461538461,0.0057630077574212036
Morocco,MAR,0.4611034908979964,0.006057631660022064,0.614526173479091,0.0001104099645335454,0.1743848469057388,0.3239463260066897
Monaco,MCO,0.5176923076923077,0.008036274163803127,0.7307692307692306,3.347036201046326e-05,0.17384615384615384,0.4059253647566914
Moldova,MDA,0.8618803418803418,1.544316136980408e-08,0.8837606837606837,2.1925524634232332e-09,0.6923076923076923,8.902307414181178e-05
Madagascar,MDG,0.575098814229249,0.004094228298326096,0.8794466403162056,3.279218792407229e-08,0.2519762845849803,0.24609751665416488
Maldives,MDV,0.3411764705882353,0.1959326248678891,0.5470588235294118,0.028301087242108842,0.06764705882352941,0.8034203137966691
Mexico,MEX,0.6261849586686085,1.5476984167256353e-05,0.6460096744516374,6.728716131911051e-06,0.3913655991678803,0.01251684625708214
Marshall Islands,MHL,0.7234262125902993,0.0006909021305997825,0.8390092879256965,1.3512662470958448e-05,0.3622291021671827,0.13962500641700293
North Macedonia,MKD,0.6063110237326717,0.00023488632919876722,0.637131069719688,8.809437195224049e-05,0.395707376154727,0.02497467734194637
Mali,MLI,0.4688311688311688,0.03204495811634262,0.5324675324675324,0.01295751978995037,0.0935064935064935,0.6868397848627377
Malta,MLT,0.5074516604570602,0.004956464914573103,0.7020569088847678,2.190326273761082e-05,0.2266288969031531,0.23712264551443016
Myanmar,MMR,0.8400488400488401,4.246663422058405e-08,0.8956043956043956,2.805418946983751e-10,0.3223443223443223,0.10104635122839975
Montenegro,MNE,0.6373913043478261,0.0008079747421695984,0.6478260869565217,0.000619928547036129,0.3017391304347826,0.15187145311574093
Mongolia,MNG,0.3429059829059829,0.08635810840449296,0.7593162393162393,6.8678491513747475e-06,-0.027692307692307693,0.8931776409313733
Mozambique,MOZ,0.44461538461538463,0.025956806489614383,0.6415384615384615,0.0005475432065244732,0.2784615384615384,0.17770149281341097
Mauritania,MRT,0.348051948051948,0.12207717550592738,0.38051948051948054,0.08881428785517553,-0.2571428571428571,0.26047318970040845
Montserrat,MSR,0.3107142857142856,0.2596673973372179,0.39642857142857135,0.1434945314423536,0.27499999999999997,0.3212111733193767
Martinique,MTQ,0.5909090909090909,0.05557560428877463,0.5636363636363637,0.07095173447637536,0.5636363636363637,0.07095173447637536
Mauritius,MUS,0.569950738916256,0.001248090763436903,0.676847290640394,5.535174975232148e-05,0.2615763546798029,0.17047679603979432
Malawi,MWI,0.6642857142857141,0.006910682984519185,0.7249999999999999,0.0022270323137542148,0.48571428571428565,0.06642631232518958
Malaysia,MYS,0.6065923812952967,6.897407122285247e-05,0.7659473774760782,3.3095947281180713e-08,0.10173109131183826,0.549089663951758
Mayotte,MYT,0.5249999999999999,0.04448390580010643,0.5665775274016841,0.027655274355857077,0.5535714285714285,0.03228710377012365
Namibia,NAM,0.48896058318859514,0.005249650077678646,0.7684242402192726,4.468841974455139e-07,0.26958362875181513,0.1424829443876292
New Caledonia,NCL,0.6064935064935064,0.003559301989284217,0.8792207792207792,1.5437493068884633e-07,0.41818181818181815,0.05922578935165214
Niger,NER,0.36507936507936506,0.06114223846264219,0.44909174695108833,0.018780022249686928,0.0018315018315018313,0.9927661408258597
Norfolk Island,NFK,1.0,0.0,1.0,0.0,0.19999999999999998,0.8
Nigeria,NGA,0.6125177593040821,0.0001513843185013484,0.6579761032415202,3.16240093293437e-05,0.5236065866029167,0.0017654245087964462
Nicaragua,NIC,0.70249017395013,1.055469659893225e-05,0.8507463378743993,1.350325614152836e-09,0.5266659972324167,0.0023363282310090465
Niue,NIU,0.8095238095238096,0.014902667686230067,0.7619047619047621,0.028004939153071794,0.7380952380952381,0.03655276105286081
