Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Nauru,8140.0,8536509065,85,8536509065,335931,335931,direct_2022
New Zealand,307890.0,8536509065,85,8536509065,335931,335931,direct_2022
Niue,5765.0,8536509065,85,8536509065,335931,335931,direct_2022
Australia,14734.0,8536610000,85,8536610000,335931,335931,direct_2022
Australia,60175.0,8536694010,85,8536694010,334417,334417,direct_2022
New Zealand,147530.0,8536694010,85,8536694010,334417,334417,direct_2022
Australia,124468.0,8536694020,85,8536694020,334417,334417,direct_2022
New Zealand,2962.0,8536694020,85,8536694020,334417,334417,direct_2022
Australia,65396.0,8536694040,85,8536694040,334417,334417,direct_2022
New Zealand,6285.0,8536694040,85,8536694040,334417,334417,direct_2022
Australia,42188.0,8536694051,85,8536694051,334417,334417,direct_2022
Australia,453906.0,8536698000,85,8536698000,335931,335931,direct_2022
Nauru,3019.0,8536698000,85,8536698000,335931,335931,direct_2022
New Zealand,85568.0,8536698000,85,8536698000,335931,335931,direct_2022
Australia,25891.0,8536700000,85,8536700000,334417,334417,direct_2022
Australia,853405.0,8536904000,85,8536904000,335931,335931,direct_2022
Nauru,2737.0,8536904000,85,8536904000,335931,335931,direct_2022
New Zealand,72279.0,8536904000,85,8536904000,335931,335931,direct_2022
Australia,29718.0,8536908530,85,8536908530,335932,335932,direct_2022
Australia,4964112.0,8536908585,85,8536908585,335931,335931,direct_2022
New Zealand,554817.0,8536908585,85,8536908585,335931,335931,direct_2022
Australia,71734.0,8537103000,85,8537103000,335313,335313,direct_2022
New Zealand,82960.0,8537103000,85,8537103000,335313,335313,direct_2022
Australia,142325.0,8537106000,85,8537106000,335314,335314,direct_2022
New Zealand,357062.0,8537106000,85,8537106000,335314,335314,direct_2022
Australia,124487.0,8537108000,85,8537108000,335313,335313,direct_2022
French Polynesia,7700.0,8537108000,85,8537108000,335313,335313,direct_2022
New Zealand,13578.0,8537108000,85,8537108000,335313,335313,direct_2022
Australia,1017533.0,8537109120,85,8537109120,335313,335313,direct_2022
New Zealand,296838.0,8537109120,85,8537109120,335313,335313,direct_2022
Niue,4566.0,8537109120,85,8537109120,335313,335313,direct_2022
Australia,12089.0,8537109130,85,8537109130,335314,335314,direct_2022
New Zealand,6054.0,8537109130,85,8537109130,335314,335314,direct_2022
Australia,1074195.0,8537109150,85,8537109150,335313,335313,direct_2022
New Zealand,72138.0,8537109150,85,8537109150,335313,335313,direct_2022
