Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Bahrain,BHR,337122,2705.0,Asia,RoWorld,RoAsia,5.192670392360642e-07,1.9456249260950237e-05,5209265745.0,139029880.0
Bahrain,BHR,337127,430594.0,Asia,RoWorld,RoAsia,2.7353268195566406e-05,0.0022631628206299533,15741958033.0,190262051.0
Bahrain,BHR,337215,181124.0,Asia,RoWorld,RoAsia,2.6546667436159078e-05,0.002328517480497393,6822852640.0,77785115.0
Bahrain,BHR,337900,20906.0,Asia,RoWorld,RoAsia,7.351200517028013e-06,0.0009903978404343348,2843889233.0,21108689.0
Bahrain,BHR,339113,426495.0,Asia,RoWorld,RoAsia,1.825264244964544e-05,0.00025056327902336537,23366205807.0,1702144870.0
Bahrain,BHR,339910,50659083.0,Asia,RoWorld,RoAsia,0.0012950390957566554,0.005314593110484234,39117802054.0,9532071778.0
Bahrain,BHR,339920,2431865.0,Asia,RoWorld,RoAsia,0.0002527790531641109,0.02255887753261344,9620516295.0,107800798.0
Bahrain,BHR,339930,260817.0,Asia,RoWorld,RoAsia,9.945520126418515e-06,0.005518244012862764,26224571132.0,47264492.0
Bahrain,BHR,339940,10584.0,Asia,RoWorld,RoAsia,5.088593553214096e-06,0.0001434719762792999,2079946038.0,73770504.0
Bahrain,BHR,339990,5553.0,Asia,RoWorld,RoAsia,2.725310597604833e-07,1.262265381337873e-05,20375659218.0,439923338.0
Bahrain,BHR,S00300,47577525.0,Asia,RoWorld,RoAsia,0.0003226971831099127,0.0036453110113809453,147437063260.0,13051705287.0
Bangladesh,BGD,1111B0,62581.0,Asia,RoAsia,RoAsia,2.7442593863535366e-05,0.000632567567507466,2280433122.0,98931724.0
Bangladesh,BGD,111200,112200.0,Asia,RoAsia,RoAsia,1.1380018790238723e-05,0.0011153230294583055,9859386181.0,100598658.0
Bangladesh,BGD,111300,50281.0,Asia,RoAsia,RoAsia,1.7766050215537378e-06,2.3730838489483464e-05,28301732456.0,2118804189.0
Bangladesh,BGD,111900,13318837.0,Asia,RoAsia,RoAsia,0.006066215641437518,0.028616057066826933,2195575922.0,465432291.0
Bangladesh,BGD,112A00,10097932.0,Asia,RoAsia,RoAsia,0.0009339533535193797,0.003053616701440639,10812030346.0,3306876071.0
Bangladesh,BGD,114000,8834832.0,Asia,RoAsia,RoAsia,0.0006922823824454239,0.002723182512583446,12761890558.0,3244304030.0
Bangladesh,BGD,311111,33442.0,Asia,RoAsia,RoAsia,1.5781804711387908e-05,3.0470018226413767e-05,2119022546.0,1097537906.0
Bangladesh,BGD,311210,1642131.0,Asia,RoAsia,RoAsia,0.00046104164182887155,0.0010343469278486065,3561784557.0,1587601757.0
Bangladesh,BGD,311221,45681.0,Asia,RoAsia,RoAsia,3.412612181809437e-05,0.00011627929767518023,1338593358.0,392855830.0
Bangladesh,BGD,311224,130606.0,Asia,RoAsia,RoAsia,9.172611050944765e-06,4.103443589620617e-05,14238693789.0,3182838929.0
Bangladesh,BGD,311225,115186.0,Asia,RoAsia,RoAsia,0.00016309842478067052,0.0010624323885279807,706236128.0,108417252.0
Bangladesh,BGD,311230,724007.0,Asia,RoAsia,RoAsia,0.0007166511038739463,0.003362336705563449,1010264264.0,215328524.0
Bangladesh,BGD,311300,613186.0,Asia,RoAsia,RoAsia,4.5675818960647614e-05,0.0005075865353253374,13424740135.0,1208042289.0
Bangladesh,BGD,311410,1089721.0,Asia,RoAsia,RoAsia,0.00016146436847319724,0.004667274958302961,6748987472.0,233481209.0
Bangladesh,BGD,311420,730650.0,Asia,RoAsia,RoAsia,6.209184184513905e-05,0.00035825988014505806,11767246361.0,2039441312.0
Bangladesh,BGD,311513,18072.0,Asia,RoAsia,RoAsia,9.287707832467401e-06,0.0005989636457371318,1945797642.0,30172115.0
Bangladesh,BGD,311514,519311.0,Asia,RoAsia,RoAsia,0.00021293670643572822,0.0006423748694330845,2438804510.0,808423593.0
Bangladesh,BGD,31151A,258957.0,Asia,RoAsia,RoAsia,0.00025409352342310704,0.0014398785523768397,1019140498.0,179846418.0
Bangladesh,BGD,31161A,1479942.0,Asia,RoAsia,RoAsia,7.278751894629842e-05,0.00021758964021945505,20332359468.0,6801527860.0
Bangladesh,BGD,311700,111511.0,Asia,RoAsia,RoAsia,2.5253449250929748e-05,4.7959487683893804e-05,4415674029.0,2325108240.0
Bangladesh,BGD,311810,8297195.0,Asia,RoAsia,RoAsia,0.00080713912782498,0.011820021821837364,10279758116.0,701961056.0
Bangladesh,BGD,3118A0,275951.0,Asia,RoAsia,RoAsia,0.0001967386188057205,0.0017337866591509168,1402627515.0,159160874.0
Bangladesh,BGD,311910,741251.0,Asia,RoAsia,RoAsia,0.0003913905474101462,0.0015978173988200283,1893890910.0,463914713.0
Bangladesh,BGD,311920,659467.0,Asia,RoAsia,RoAsia,0.00014211428042193322,0.0014851179969415983,4640399248.0,444050238.0
Bangladesh,BGD,311930,2100.0,Asia,RoAsia,RoAsia,6.995055284023757e-07,7.663842208834531e-07,3002120662.0,2740139923.0
Bangladesh,BGD,311940,1439530.0,Asia,RoAsia,RoAsia,0.00036570534061415447,0.0010791769615779206,3936311123.0,1333914688.0
Bangladesh,BGD,311990,1083675.0,Asia,RoAsia,RoAsia,0.00020343487345518584,0.0007552405882549306,5326889051.0,1434873889.0
Bangladesh,BGD,312110,635323.0,Asia,RoAsia,RoAsia,0.00016721520207317193,0.001274591638622436,3799433258.0,498452195.0
Bangladesh,BGD,312200,151203.0,Asia,RoAsia,RoAsia,7.836683696280367e-05,0.002361988670646195,1929425837.0,64015125.0
Bangladesh,BGD,313100,3243848.0,Asia,RoAsia,RoAsia,0.004482366365236158,0.014783450313092967,723690956.0,219424284.0
Bangladesh,BGD,313200,8383196.0,Asia,RoAsia,RoAsia,0.001240469350772678,0.004187985973079847,6758083942.0,2001724947.0
Bangladesh,BGD,313300,2573834.0,Asia,RoAsia,RoAsia,0.0016473317987198343,0.00460118888230443,1562425980.0,559384556.0
Bangladesh,BGD,314110,3749757.0,Asia,RoAsia,RoAsia,0.0011041794266855227,0.0023921691230779866,3395967095.0,1567513335.0
Bangladesh,BGD,314120,64603221.0,Asia,RoAsia,RoAsia,0.004821199375606943,0.013837483522788468,13399823564.0,4668711684.0
Bangladesh,BGD,314900,116795707.0,Asia,RoAsia,RoAsia,0.014225747381021444,0.05157804959055727,8210163155.0,2264445979.0
Bangladesh,BGD,315000,7388785196.0,Asia,RoAsia,RoAsia,0.08778440233497282,0.17498941055042477,84169681623.0,42224184725.0
Bangladesh,BGD,316000,333873455.0,Asia,RoAsia,RoAsia,0.008328184596097497,0.018103924897085004,40089583888.0,18442048169.0
Bangladesh,BGD,321200,5400.0,Asia,RoAsia,RoAsia,6.377388358291195e-07,3.304066647248585e-06,8467415965.0,1634349599.0
Bangladesh,BGD,321910,9633.0,Asia,RoAsia,RoAsia,3.4734810834203972e-06,1.8603271835225802e-05,2773298535.0,517812140.0
Bangladesh,BGD,3219A0,3265225.0,Asia,RoAsia,RoAsia,0.0007429743328496027,0.003456779292660757,4394801887.0,944585906.0
Bangladesh,BGD,322120,412286.0,Asia,RoAsia,RoAsia,7.280731304945484e-05,0.0005296730040611407,5662700390.0,778378352.0
