Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Azerbaijan,AZE,3121,118269.0,Asia,Europe,RoAsia,3.836707607668482e-06,8.627654298649246e-06,30825648471.0,13708129221.0
Azerbaijan,AZE,313TT,63046.0,Asia,Europe,RoAsia,1.8515628069910795e-06,1.3928742286551896e-05,34050154692.0,4526323964.0
Azerbaijan,AZE,315AL,28915.0,Asia,Europe,RoAsia,2.3269894507335803e-07,2.5308384461147377e-06,124259265511.0,11425067469.0
Azerbaijan,AZE,321,926509.0,Asia,Europe,RoAsia,3.982418070704251e-05,0.00029958804063259965,23264985834.0,3092610099.0
Azerbaijan,AZE,323,471530.0,Asia,Europe,RoAsia,6.943667009993176e-05,0.00037410933062064546,6790792233.0,1260406949.0
Azerbaijan,AZE,325X,2030893.0,Asia,Europe,RoAsia,3.734974133798147e-05,0.00012502075087527504,54375021814.0,16244447308.0
Azerbaijan,AZE,326,109987.0,Asia,Europe,RoAsia,1.4311534625077517e-06,1.0517712066234516e-05,76851995877.0,10457312323.0
Azerbaijan,AZE,327,210860.0,Asia,Europe,RoAsia,7.004779634246473e-06,2.7747775690874374e-05,30102303143.0,7599167672.0
Azerbaijan,AZE,3311IS,4161884.0,Asia,Europe,RoAsia,0.00010746011367649872,0.0004388152824456953,38729570048.0,9484364302.0
Azerbaijan,AZE,3313NF,77775777.0,Asia,Europe,RoAsia,0.0008176784885038302,0.003173770854196522,95117797635.0,24505794707.0
Azerbaijan,AZE,332,11600235.0,Asia,Europe,RoAsia,0.00011729168511671312,0.0004975264483720692,98900744656.0,23315815748.0
Azerbaijan,AZE,33311,956149.0,Asia,Europe,RoAsia,6.182038520642549e-05,0.000162800345679223,15466564901.0,5873138635.0
Azerbaijan,AZE,33312,3210.0,Asia,Europe,RoAsia,9.812427364089146e-08,3.090817985832092e-07,32713617955.0,10385600235.0
Azerbaijan,AZE,3332OM,461321.0,Asia,Europe,RoAsia,2.3141507693714996e-06,6.807255020062337e-06,199347858448.0,67769019765.0
Azerbaijan,AZE,3342,152724.0,Asia,Europe,RoAsia,1.2587026135713036e-06,3.6870808147334396e-05,121334458476.0,4142138664.0
Azerbaijan,AZE,3345,10050.0,Asia,Europe,RoAsia,1.3507754352126622e-07,3.130506169818172e-07,74401708367.0,32103434572.0
Azerbaijan,AZE,334X,33676.0,Asia,Europe,RoAsia,5.758605934240201e-07,1.4518277178386679e-05,58479431280.0,2319558966.0
Azerbaijan,AZE,335,3048168.0,Asia,Europe,RoAsia,1.4911222077991134e-05,0.00010990667136281269,204421071865.0,27734149003.0
Azerbaijan,AZE,3362BP,6701.0,Asia,Europe,RoAsia,4.357555928952888e-08,3.7386262203823265e-07,153778863869.0,17923696045.0
Azerbaijan,AZE,3364,580586.0,Asia,Europe,RoAsia,9.270276886680738e-06,1.7240554718597077e-05,62628765796.0,33675598580.0
Azerbaijan,AZE,3365AO,7470.0,Asia,Europe,RoAsia,4.808866498903177e-07,2.033320476677901e-06,15533806151.0,3673793721.0
Azerbaijan,AZE,337,533932.0,Asia,Europe,RoAsia,1.1205152255108198e-05,0.00010303929206402925,47650579648.0,5181829080.0
Azerbaijan,AZE,3399,2279141.0,Asia,Europe,RoAsia,2.3314475832567332e-05,0.0001811278928981399,97756476121.0,12583048163.0
Azerbaijan,AZE,S003,48638635.0,Asia,Europe,RoAsia,0.00032989422011361896,0.0008370629642059304,147437063260.0,58106303922.0
Bahamas,BHS,112,21000.0,North America,RoWorld,RoWorld,1.5095182953215933e-06,5.863332353432755e-06,13911722743.0,3581581042.0
Bahamas,BHS,113FF,102912056.0,North America,RoWorld,RoWorld,0.006265929362602516,0.030870896546121955,16424068968.0,3333627057.0
Bahamas,BHS,212,47304700.0,North America,RoWorld,RoWorld,0.007969171921490336,0.01895478341898919,5935961787.0,2495660275.0
Bahamas,BHS,311,68907.0,North America,RoWorld,RoWorld,5.847110296489219e-07,4.1424939210660135e-06,117847956522.0,16634182527.0
Bahamas,BHS,3121,89127.0,North America,RoWorld,RoWorld,2.8913260359745053e-06,9.530721147238805e-05,30825648471.0,935154839.0
Bahamas,BHS,3122,6444.0,North America,RoWorld,RoWorld,3.33985368933359e-06,4.189772902832954e-06,1929425837.0,1538030855.0
Bahamas,BHS,313TT,7130.0,North America,RoWorld,RoWorld,2.09396992891641e-07,6.6639059528055955e-06,34050154692.0,1069943071.0
Bahamas,BHS,315AL,40446.0,North America,RoWorld,RoWorld,3.25496853966351e-07,2.6522643046582565e-06,124259265511.0,15249611409.0
Bahamas,BHS,323,49940.0,North America,RoWorld,RoWorld,7.354075678727955e-06,0.0004023931060923686,6790792233.0,124107494.0
Bahamas,BHS,324,598685277.0,North America,RoWorld,RoWorld,0.00963002668472267,0.04133821287733162,62168600005.0,14482611495.0
Bahamas,BHS,3251,16758.0,North America,RoWorld,RoWorld,2.606468412155031e-07,4.128715001645701e-06,64293892540.0,4058889992.0
Bahamas,BHS,3252,54414064.0,North America,RoWorld,RoWorld,0.0024931417608243267,0.08442456095168409,21825499398.0,644528836.0
Bahamas,BHS,3254,7000.0,North America,RoWorld,RoWorld,2.777968011142131e-08,2.391951356776949e-06,251982743211.0,2926480917.0
